name,mor,cec,ind,hyr,mic,zna,trm,lyc,pip,als,ply,qua,oen,alc,cor,sim,tch,lue,fic,gus,hir,fra,cas,vir,vra,ant,poa,spa,euc,acy,znb,unc,tab,prt,slo,pob,byr,abe,ape,chc,cel,lae,sol,cyn,ara,ast,asa
number,1050.0000,826.0000,508.0000,317.0000,187.0000,147.0000,129.0000,128.0000,100.0000,94.0000,75.0000,72.0000,68.0000,67.0000,64.0000,56.0000,46.0000,43.0000,41.0000,38.0000,38.0000,36.0000,28.0000,27.0000,25.0000,24.0000,24.0000,23.0000,23.0000,19.0000,18.0000,18.0000,16.0000,15.0000,14.0000,13.0000,13.0000,12.0000,12.0000,11.0000,11.0000,11.0000,10.0000,10.0000,10.0000,9.0000,9.0000
acc_with_reweighting,0.7905,0.8160,0.4705,0.9464,0.8396,0.6531,0.2791,0.9453,0.6600,0.8723,0.8800,0.9583,0.8824,0.5224,0.6875,0.8393,0.6087,0.6512,0.8049,0.6579,0.8684,0.9167,0.7500,0.9630,0.7600,0.7083,0.4583,0.4783,0.6087,0.3684,0.0000,0.7222,0.8125,0.8000,0.7143,0.6154,0.5385,0.5833,0.5833,0.7273,0.3636,1.0000,0.4000,0.7000,0.4000,0.2222,0.2222
acc_without_reweighting,0.7552,0.8705,0.5098,0.9464,0.8182,0.7211,0.5116,0.9766,0.5100,0.8298,0.8800,0.9028,0.6029,0.6866,0.8281,0.8929,0.5217,0.7442,0.5122,0.7105,0.7895,0.8611,0.6786,0.8889,0.8800,0.5833,0.4583,0.6087,0.6957,0.5263,0.0000,0.9444,0.6250,0.9333,0.0714,0.6154,0.3846,0.6667,0.0833,0.7273,0.4545,1.0000,0.4000,0.7000,0.2000,0.4444,0.2222
